1 x  || 000100xx
0 x  || 000100xx
0 0  || 000100xx
0 0  || 000110xx
0 1  || 000110xx
0 1  || 000111xx
0 0  || 0001110x
0 0  || 0001000x
0 0  || 0001101x
0 0  || 0001101x
0 0  || 00011000
0 0  || 00011000
0 0  || 00011001
0 0  || 00011001
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
0 0  || 00011000
